policy_id,procedure_id,covered,coverage_limit
P001,PR001,Yes,200000
P001,PR002,Yes,350000
P001,PR003,Yes,180000
P001,PR009,Yes,25000
P001,PR010,Yes,50000
P002,PR001,Yes,400000
P002,PR002,Yes,700000
P002,PR003,Yes,300000
P002,PR004,Yes,300000
P002,PR009,Yes,50000
P003,PR001,Yes,180000
P003,PR003,Yes,150000
P003,PR010,Yes,30000
P004,PR001,Yes,300000
P004,PR002,Yes,500000
P004,PR003,Yes,250000
P004,PR004,Yes,250000
P005,PR001,Yes,350000
P005,PR003,Yes,250000
P005,PR004,Yes,300000
P005,PR009,Yes,40000
P006,PR003,Yes,180000
P006,PR010,Yes,30000
P007,PR001,Yes,500000
P007,PR002,Yes,800000
P007,PR003,Yes,400000
P007,PR004,Yes,400000
P008,PR001,Yes,250000
P008,PR003,Yes,200000
P008,PR009,Yes,30000
P008,PR010,Yes,50000
