hospital_id,procedure_id,estimated_cost
H001,PR001,245000
H001,PR003,215000
H001,PR009,28000
H001,PR010,24000
H002,PR001,260000
H002,PR002,440000
H003,PR001,255000
H003,PR003,225000
H003,PR004,245000
H003,PR009,32000
H004,PR001,275000
H004,PR003,210000
H004,PR010,26000
H005,PR009,29000
H005,PR010,23000
H006,PR001,240000
H006,PR003,218000
H006,PR004,255000
H006,PR009,31000
H007,PR001,265000
H007,PR002,460000
H008,PR003,205000
H008,PR010,22000
H009,PR001,250000
H009,PR010,27000
H010,PR001,235000
H010,PR003,230000
H010,PR009,30000
